photo,name,price,quantity,frameMaterial,frameShape,lensType,templeType,templeLength,bridgeWidth,lensWidth,lensHeight,lensMaterial,brand,gender,color
https://i.ibb.co/k2y1tHt5/eye-glass-1.jpg,Urban Vision Classic,236.41,91,wood,cat-eye,progressive,curved,121,15,52,37,polycarbonate,coach,male,silver
https://i.ibb.co/VpShvbz8/eye-glass-2.jpg,Elegance Curve,115.74,82,carbon-fiber,other,aspheric,adjustable,123,19,47,36,glass,oakley,male,clear
https://i.ibb.co/qM2z0tBd/eye-glass-3.jpg,Metro Flex,212.39,35,other,cat-eye,aspheric,other,127,14,53,48,other,gucci,male,gold
https://i.ibb.co/qLb0z4HV/eye-glass-4.jpg,Urban Vision Classic,282.53,19,acetate,cat-eye,polarized,other,148,22,53,49,plastic,other,female,blue
https://i.ibb.co/9HyDGGvM/eye-glass-5.jpg,Luna Chic,74.2,26,leather,circle,other,curved,146,17,56,39,plastic,oakley,male,pink
https://i.ibb.co/Y7rpWcRb/eye-glass-6.jpg,Bold Square,210.79,57,leather,heart,progressive,flexible,126,16,56,33,high-index,gucci,male,clear
https://i.ibb.co/SwRvcY6T/eye-glass-7.jpg,Velvet Frame,225.01,44,metal,circle,single-vision,straight,130,15,50,36,trivex,oakley,male,tortoise
https://i.ibb.co/WpyHVPYM/eye-glass-8.jpg,Elegance Curve,92.38,86,acetate,oval,uv-protective,adjustable,124,18,55,43,polycarbonate,prada,female,blue
https://i.ibb.co/k2y1tHt5/eye-glass-1.jpg,Titan Edge,127.67,77,other,triangle,bifocal,flexible,144,19,60,38,high-index,gucci,male,tortoise
https://i.ibb.co/VpShvbz8/eye-glass-2.jpg,Petal Round,283.14,36,other,triangle,uv-protective,straight,146,16,48,42,glass,oakley,male,blue
https://i.ibb.co/qM2z0tBd/eye-glass-3.jpg,AeroLite,255.32,57,wood,other,polarized,flexible,133,15,57,37,high-index,gucci,male,black
https://i.ibb.co/qLb0z4HV/eye-glass-4.jpg,Sunset Glint,130.78,75,carbon-fiber,rimless,other,curved,146,21,54,40,high-index,oakley,male,gold
https://i.ibb.co/9HyDGGvM/eye-glass-5.jpg,Steel Horizon,75.89,21,wood,heart,polarized,adjustable,144,21,54,42,high-index,oakley,male,green
https://i.ibb.co/Y7rpWcRb/eye-glass-6.jpg,Metro Flex,270.91,72,acetate,other,polarized,adjustable,136,18,53,32,polycarbonate,gucci,female,black
https://i.ibb.co/SwRvcY6T/eye-glass-7.jpg,Driftwood Edge,173.43,94,carbon-fiber,other,trifocal,flexible,120,22,46,30,glass,gucci,male,gold
https://i.ibb.co/WpyHVPYM/eye-glass-8.jpg,Carbon Trail,92.15,97,metal,oval,aspheric,other,129,14,55,38,plastic,gucci,male,pink
https://i.ibb.co/k2y1tHt5/eye-glass-1.jpg,Luna Chic,214.16,47,acetate,cat-eye,trifocal,curved,140,18,53,31,polycarbonate,other,female,blue
https://i.ibb.co/VpShvbz8/eye-glass-2.jpg,Iron Crest,240.02,14,silicone,butterfly,polarized,flexible,128,16,52,40,polycarbonate,prada,male,blue
https://i.ibb.co/qM2z0tBd/eye-glass-3.jpg,Glacier Frame,251.45,29,carbon-fiber,heart,trifocal,other,143,20,50,34,high-index,other,male,tortoise
https://i.ibb.co/qLb0z4HV/eye-glass-4.jpg,Bold Square,76.47,20,plastic,other,single-vision,curved,132,22,46,45,trivex,gucci,female,pink
https://i.ibb.co/9HyDGGvM/eye-glass-5.jpg,Onyx Vision,187.78,26,silicone,square,single-vision,curved,127,16,50,45,glass,dior,male,blue
https://i.ibb.co/Y7rpWcRb/eye-glass-6.jpg,Phantom Alloy,140.96,15,acetate,circle,polarized,other,134,17,46,40,plastic,coach,male,black
https://i.ibb.co/SwRvcY6T/eye-glass-7.jpg,Velvet Frame,269.07,40,other,triangle,bifocal,flexible,120,21,59,45,high-index,coach,female,tortoise
https://i.ibb.co/WpyHVPYM/eye-glass-8.jpg,Titan Edge,167.71,94,leather,oval,bifocal,straight,147,15,45,40,high-index,prada,female,tortoise
https://i.ibb.co/k2y1tHt5/eye-glass-1.jpg,Petal Round,253.92,91,plastic,circle,progressive,curved,121,15,46,31,plastic,coach,female,blue
